trial_labels,CONcon_HR_1,conCON_FZ_2,CONincon_HR_3,conINCON_HZ_4,INCONcon_FR_5,inconCON_FZ_6,INCONincon_FR_7,inconINCON_HZ_8,RPE,ExactAge,AgeGroup,StudyID
1,0.5,0.5,0.5,0.5,0.500522717566391,0.5,0.5,0.5,0.5,11.665753424657536,Children,46
2,0.5,0.5,0.500348876567025,0.5,0.500522717566391,0.5,0.5,0.5,0.5,11.665753424657536,Children,46
3,0.5,0.5,0.500348876567025,0.5,0.500522717566391,0.5,0.500197394323172,0.5,0.5,11.665753424657536,Children,46
4,0.5,0.5,0.500348876567025,0.5,0.500522717566391,0.499477282433609,0.500197394323172,0.5,-0.5,11.665753424657536,Children,46
5,0.5,0.5,0.500697509704332,0.5,0.500522717566391,0.499477282433609,0.500197394323172,0.5,0.499651123432975,11.665753424657536,Children,46
6,0.5,0.5,0.500697509704332,0.5,0.500522717566391,0.499477282433609,0.500197394323172,0.499802605676828,-0.5,11.665753424657536,Children,46
7,0.5,0.5,0.500697509704332,0.499651123432975,0.500522717566391,0.499477282433609,0.500197394323172,0.499802605676828,-0.5,11.665753424657536,Children,46
8,0.50082681117108,0.5,0.500697509704332,0.499651123432975,0.500522717566391,0.499477282433609,0.500197394323172,0.499802605676828,0.5,11.665753424657536,Children,46
9,0.50082681117108,0.5,0.501045899581774,0.499651123432975,0.500522717566391,0.499477282433609,0.500197394323172,0.499802605676828,0.499302490295668,11.665753424657536,Children,46
10,0.50082681117108,0.49917318882892,0.501045899581774,0.499651123432975,0.500522717566391,0.499477282433609,0.500197394323172,0.499802605676828,-0.5,11.665753424657536,Children,46
11,0.50082681117108,0.498347744891266,0.501045899581774,0.499651123432975,0.500522717566391,0.499477282433609,0.500197394323172,0.499802605676828,-0.49917318882892,11.665753424657536,Children,46
12,0.50082681117108,0.498347744891266,0.501045899581774,0.499651123432975,0.500522717566391,0.499477282433609,0.500394710717306,0.499802605676828,0.499802605676828,11.665753424657536,Children,46
13,0.50082681117108,0.498347744891266,0.501045899581774,0.499651123432975,0.500522717566391,0.498955111334526,0.500394710717306,0.499802605676828,-0.499477282433609,11.665753424657536,Children,46
14,0.50082681117108,0.498347744891266,0.501045899581774,0.499651123432975,0.501044888665474,0.498955111334526,0.500394710717306,0.499802605676828,0.499477282433609,11.665753424657536,Children,46
15,0.50082681117108,0.498347744891266,0.501394046369088,0.499651123432975,0.501044888665474,0.498955111334526,0.500394710717306,0.499802605676828,0.498954100418226,11.665753424657536,Children,46
16,0.499998632766575,0.498347744891266,0.501394046369088,0.499651123432975,0.501044888665474,0.498955111334526,0.500394710717306,0.499802605676828,-0.50082681117108,11.665753424657536,Children,46
17,0.499998632766575,0.498347744891266,0.501394046369088,0.499651123432975,0.501044888665474,0.498955111334526,0.500197160566824,0.499802605676828,-0.500394710717306,11.665753424657536,Children,46
18,0.499998632766575,0.498347744891266,0.501394046369088,0.499651123432975,0.500521078735762,0.498955111334526,0.500197160566824,0.499802605676828,-0.501044888665474,11.665753424657536,Children,46
19,0.499998632766575,0.498347744891266,0.50174195023589,0.499651123432975,0.500521078735762,0.498955111334526,0.500197160566824,0.499802605676828,0.498605953630912,11.665753424657536,Children,46
