beta,alpha,lik,ExactAge,AgeGroup,StudyID
2.78633504622396,0.566938897431492,90.1450882658733,20.904109589041095,Adults,1
1.00000000102796e-6,0,124.76649250079,20.23835616438356,Adults,2
2.609031910627,0.511220436206631,97.8233388819744,20.427397260273978,Adults,3
30,0.0107606130758402,73.292743413446,20.643835616438356,Adults,4
1.00000000102796e-6,0,124.76649250079,21.005479452054793,Adults,5
30,0.0139476695480584,74.2399488950111,19.183561643835617,Adults,6
9.99999999973245e-7,0,124.76649250079,18.117808219178084,Adults,7
1.00000000102796e-6,0,124.76649250079,19.03835616438356,Adults,8
30,0.00199567691984881,122.51702201369,18.471232876712328,Adults,9
0.721514077837862,1,118.580637644218,20.361643835616437,Adults,10
3.04098779506675,0.0299511761334361,120.246322183089,20.676712328767124,Adults,11
0.548394300467026,1,121.513223501649,14.942465753424658,Adolescents,12
9.999999992516e-7,0,124.76649250079,20.65205479452055,Adults,13
2.93406032654627,0.0652041013295407,117.056419208664,13.69041095890411,Adolescents,16
2.98369288471319,0.00333358025374982,124.638027172719,19.813698630136987,Adults,14
0.962308271975748,0.453804539836252,119.547887135541,13.336986301369864,Adolescents,15
26.1323905960334,0.0476321606107127,25.3616446419874,18.676712328767124,Adults,17
2.78733186940278,0.163757104234672,107.847012158054,18.273972602739725,Adults,18
1.59796286586261,0.608020276731941,104.401810209115,19.027397260273972,Adults,19
19.1276340194294,2.2368008458496e-4,124.747190068692,14.178082191780822,Adolescents,20
2.84967779295972,0.186248938774675,103.323600459661,19.731506849315068,Adults,21
2.02375285808966,0.240027087773822,106.917261290287,19.75068493150685,Adults,22
21.202851492434,0.0372255564628569,38.3051464971077,19.91780821917808,Adults,23
1.45672870096605,0.219312562192376,117.889310481356,14.3013698630137,Adolescents,24
0.883841669878458,0.574898784705764,119.219255930143,13.082191780821915,Adolescents,25
1.11111328009947,0.420383198482453,115.18351595776,14.013698630136986,Adolescents,26
1.00000000458067e-6,0,124.76649250079,12.227397260273971,Children,27
30,0.00431849956394466,110.164974794085,14.106849315068493,Adolescents,28
1.00000000102796e-6,0,124.76649250079,15.205479452054794,Adolescents,29
9.999999992516e-7,0,124.76649250079,12.652054794520549,Children,30
30,0.00956223963547716,91.5168762336067,14.41917808219178,Adolescents,31
1.00000000102796e-6,0,124.07334532023,13.868493150684932,Adolescents,32
1.00000000102796e-6,0,124.76649250079,11.178082191780822,Children,33
9.999999992516e-7,0,124.76649250079,12.465753424657532,Children,34
30,0.00602405197348955,99.0897213993145,8.704109589041096,Children,35
1.00000000102796e-6,0,124.76649250079,8.073972602739726,Children,36
