trial_labels,CONcon_HR_1,conCON_FZ_2,CONincon_HR_3,conINCON_HZ_4,INCONcon_FR_5,inconCON_FZ_6,INCONincon_FR_7,inconINCON_HZ_8,RPE,ExactAge,AgeGroup,StudyID
1,0.5,0.5,0.5,0.5,0.500460798423159,0.5,0.5,0.5,0.5,11.665753424657536,Children,46
2,0.5,0.5,0.500460798423159,0.5,0.500460798423159,0.5,0.5,0.5,0.5,11.665753424657536,Children,46
3,0.5,0.5,0.500460798423159,0.5,0.500460798423159,0.5,0.500460798423159,0.5,0.5,11.665753424657536,Children,46
4,0.5,0.5,0.500460798423159,0.5,0.500460798423159,0.499539201576841,0.500460798423159,0.5,-0.5,11.665753424657536,Children,46
5,0.5,0.5,0.500921172175945,0.5,0.500460798423159,0.499539201576841,0.500460798423159,0.5,0.499539201576841,11.665753424657536,Children,46
6,0.5,0.5,0.500921172175945,0.5,0.500460798423159,0.499539201576841,0.500460798423159,0.499539201576841,-0.5,11.665753424657536,Children,46
7,0.5,0.5,0.500921172175945,0.499539201576841,0.500460798423159,0.499539201576841,0.500460798423159,0.499539201576841,-0.5,11.665753424657536,Children,46
8,0.500460798423159,0.5,0.500921172175945,0.499539201576841,0.500460798423159,0.499539201576841,0.500460798423159,0.499539201576841,0.5,11.665753424657536,Children,46
9,0.500460798423159,0.5,0.501381121649732,0.499539201576841,0.500460798423159,0.499539201576841,0.500460798423159,0.499539201576841,0.499078827824055,11.665753424657536,Children,46
10,0.500460798423159,0.499539201576841,0.501381121649732,0.499539201576841,0.500460798423159,0.499539201576841,0.500460798423159,0.499539201576841,-0.5,11.665753424657536,Children,46
11,0.500460798423159,0.499078827824055,0.501381121649732,0.499539201576841,0.500460798423159,0.499539201576841,0.500460798423159,0.499539201576841,-0.499539201576841,11.665753424657536,Children,46
12,0.500460798423159,0.499078827824055,0.501381121649732,0.499539201576841,0.500460798423159,0.499539201576841,0.500921172175945,0.499539201576841,0.499539201576841,11.665753424657536,Children,46
13,0.500460798423159,0.499078827824055,0.501381121649732,0.499539201576841,0.500460798423159,0.499078827824055,0.500921172175945,0.499539201576841,-0.499539201576841,11.665753424657536,Children,46
