betaCC,betaCI,betaIC,betaII,alpha,lik,ExactAge,AgeGroup,StudyID
4.22841197388787,1.31114554818658,3.95942430905192,4.72019544594015,0.562017992359358,83.7941795083484,20.904109589041095,Adults,1
4.57922309906763,1e-6,4.10844308352715,0.366973744420418,0.373830681706019,93.6331708960501,20.23835616438356,Adults,2
30,5.91623297807608,19.7776947053665,1e-6,0.130664931755597,57.8858349305797,20.427397260273978,Adults,3
16.9374282707894,6.29568477380297,30,20.2692882090889,0.0274659592317496,64.8187444782765,20.643835616438356,Adults,4
3.11015498527792,1e-6,1e-6,1e-6,0.0970647421267234,121.327420023549,21.005479452054793,Adults,5
22.229497876197,15.1180363669421,16.4452604110796,30,0.0224772953452865,72.592374050869,19.183561643835617,Adults,6
2.03280876086655,1.43969878991644,1e-6,1.00000000000002e-6,0.124247531160793,122.946965918062,18.117808219178084,Adults,7
11.4128771593258,1e-6,30,1e-6,0.0559163758759914,86.4749954100375,19.03835616438356,Adults,8
2.14587973018616,1e-6,1e-6,1.40739746089544,0.285244792603428,118.534742755044,18.471232876712328,Adults,9
1e-6,4.31012149694736,30,1.85760421208694,0.0337768764851188,99.0903583309249,20.361643835616437,Adults,10
13.0470438747528,30,1e-6,13.159909775782,0.00533180993740837,117.510904851348,20.676712328767124,Adults,11
1e-6,18.6537533210086,30,1e-6,0.0780041087953631,75.9546554592399,14.942465753424658,Adolescents,12
1e-6,6.9605541948145,1e-6,30,0.00325338984787628,122.692092975733,20.65205479452055,Adults,13
3.6250828309162,4.55290512216354,1.22904216625403,1e-6,0.140548889372233,106.972035032555,13.69041095890411,Adolescents,16
0.272230300773329,1e-6,0.174153249052495,0.259730949410455,0.966847655931994,124.202904510191,19.813698630136987,Adults,14
3.15012203521668,1.45789151271281,1e-6,0.957130602913987,0.364404934814685,113.96964668485,13.336986301369864,Adolescents,15
30,11.5352131761157,30,27.8899724467681,0.07359859333656,21.5406321944394,18.676712328767124,Adults,17
1.79792951966309,1.27612764399255,2.75623994503749,4.51058586387863,0.200738234351206,105.147555879699,18.273972602739725,Adults,18
1.20219875216066,3.23805088677317,0.749303291047736,1.41386664508442,0.69203957372232,100.61727083733,19.027397260273972,Adults,19
0.498465127831582,1e-6,0.120155704463022,0.637057119413176,0.504012194258056,123.790934752809,14.178082191780822,Adolescents,20
5.7567644567614,8.62807651303621,8.79513078604086,1e-6,0.094775387306104,82.4225713936163,19.731506849315068,Adults,21
2.57374209777185,0.554122155498674,2.68695325724674,0.718634538702661,0.38678769583879,102.974834649304,19.75068493150685,Adults,22
18.5264050780208,15.844108505778,11.5447671341875,30,0.0527023704670306,36.4536838883758,19.91780821917808,Adults,23
1.44897007421732,1.26880676137796,1.46378753096025,1.65419472494659,0.219198680041502,117.843316088865,14.3013698630137,Adolescents,24
1.85181336845092,1.79530583506588,1.19775555584719,0.191012296216555,0.216673785856493,118.174357209458,13.082191780821915,Adolescents,25
1e-6,1.77340344547293,3.02345830706315,2.19407931012585,0.352689853954683,102.965553689239,14.013698630136986,Adolescents,26
1e-6,1e-6,1.29556816120446,30,0.00378167765886777,122.742908864749,12.227397260273971,Children,27
11.550909385018,13.1756992321367,1.94994017080538,30,0.0122119148723906,103.799608795823,14.106849315068493,Adolescents,28
1e-6,1.28199622264355,1e-6,1e-6,0.216692784751581,122.489471364181,15.205479452054794,Adolescents,29
1e-6,17.8235461314197,1e-6,12.4715967638402,4.46508720273869e-5,124.766236396205,12.652054794520549,Children,30
11.4088923658777,2.64837772666462,5.95452253479491,16.7250988732897,0.0641556715658588,83.2871012540044,14.41917808219178,Adolescents,31
0.846859813449728,1.13480028261316,0.435133883362415,0.355673899074013,1,117.404949236389,13.868493150684932,Adolescents,32
30,1e-6,1e-6,1e-6,0.00979534795660335,107.588643172702,11.178082191780822,Children,33
0.831955092271119,0.0250079985010454,0.560862804151185,0.579511036324486,0.84654280992027,122.173292697783,12.465753424657532,Children,34
19.7307991039448,13.4208434535648,23.7915858332973,28.3615727799745,0.00955153671338725,97.4814538915931,8.704109589041096,Children,35
1.12840462693174,1e-6,1e-6,1.42864568815005,0.428207628084445,122.559226286576,8.073972602739726,Children,36
1e-6,0.897318237607784,0.25087756513077,1e-6,0.195369228616577,124.115143748122,8.942465753424658,Children,37
4.04758344710603,1e-6,1e-6,27.1868286496147,0.00360657991596587,124.42400748103,9.035616438356165,Children,38
30,1e-6,1e-6,1e-6,0.00611490142120266,122.774694808989,9.465753424657532,Children,39
1e-6,3.25830131346829,4.26722387947243,0.392231202754087,0.158270613672939,114.509280437583,9.657534246575343,Children,40
0.0873483749691728,1e-6,1e-6,1.40459206234261,0.18520917482838,123.181944625177,8.67123287671233,Children,41
6.0549435005086,1e-6,4.16482034648669,1e-6,0.3086723666454,94.3345652522268,10.095890410958903,Children,42
2.14053365248821,1.13927969441773,2.56767106319438,1.93824837985177,0.397663419872813,99.7665827871295,9.915068493150685,Children,43
30,15.7199432174233,19.3022986670286,7.57656105709188,0.0177685252931658,82.5479849161574,16.2986301369863,Adolescents,44
15.7576692373618,11.6659947273158,30,1e-6,0.00386615371185435,120.879656319986,14.158904109589042,Adolescents,45
30,12.795735339636,19.2361757169311,7.25648245457014,0.00164735670540757,123.669516099387,11.665753424657536,Children,46
1e-6,0.360245861808657,0.160349989717539,0.812128054154285,1,121.986086233033,15.326027397260274,Adolescents,47
14.5707264847622,17.3757332363207,24.3009402191725,1e-6,0.0833319198999182,67.0863199276226,9.865753424657534,Children,48
0.670844279338759,0.256682686690314,1e-6,0.0360391843538615,1,123.07363720415,9.865753424657534,Children,49
8.72260925277334,1.20036297440097,5.1383672619077,1e-6,0.216011627277298,90.927918874743,15.227397260273971,Adolescents,50
1e-6,1e-6,1e-6,30,4.9001468980355e-4,124.726076126224,8.04109589041096,Children,51
