trial_labels,CONcon_HR_1,conCON_FZ_2,CONincon_HR_3,conINCON_HZ_4,INCONcon_FR_5,inconCON_FZ_6,INCONincon_FR_7,inconINCON_HZ_8,RPE,ExactAge,AgeGroup,StudyID
1,0.5,0.5,0.5,0.5,0.500823678352704,0.5,0.5,0.5,0.5,11.665753424657536,Children,46
2,0.5,0.5,0.500823678352704,0.5,0.500823678352704,0.5,0.5,0.5,0.5,11.665753424657536,Children,46
3,0.5,0.5,0.500823678352704,0.5,0.500823678352704,0.5,0.500823678352704,0.5,0.5,11.665753424657536,Children,46
4,0.5,0.5,0.500823678352704,0.5,0.500823678352704,0.499176321647296,0.500823678352704,0.5,-0.5,11.665753424657536,Children,46
5,0.5,0.5,0.50164599981335,0.5,0.500823678352704,0.499176321647296,0.500823678352704,0.5,0.499176321647296,11.665753424657536,Children,46
6,0.5,0.5,0.50164599981335,0.5,0.500823678352704,0.499176321647296,0.500823678352704,0.499176321647296,-0.5,11.665753424657536,Children,46
7,0.5,0.5,0.50164599981335,0.499176321647296,0.500823678352704,0.499176321647296,0.500823678352704,0.499176321647296,-0.5,11.665753424657536,Children,46
8,0.500823678352704,0.5,0.50164599981335,0.499176321647296,0.500823678352704,0.499176321647296,0.500823678352704,0.499176321647296,0.5,11.665753424657536,Children,46
9,0.500823678352704,0.5,0.502466966617224,0.499176321647296,0.500823678352704,0.499176321647296,0.500823678352704,0.499176321647296,0.49835400018665,11.665753424657536,Children,46
10,0.500823678352704,0.499176321647296,0.502466966617224,0.499176321647296,0.500823678352704,0.499176321647296,0.500823678352704,0.499176321647296,-0.5,11.665753424657536,Children,46
11,0.500823678352704,0.49835400018665,0.502466966617224,0.499176321647296,0.500823678352704,0.499176321647296,0.500823678352704,0.499176321647296,-0.499176321647296,11.665753424657536,Children,46
12,0.500823678352704,0.49835400018665,0.502466966617224,0.499176321647296,0.500823678352704,0.499176321647296,0.50164599981335,0.499176321647296,0.499176321647296,11.665753424657536,Children,46
13,0.500823678352704,0.49835400018665,0.502466966617224,0.499176321647296,0.500823678352704,0.49835400018665,0.50164599981335,0.499176321647296,-0.499176321647296,11.665753424657536,Children,46
14,0.500823678352704,0.49835400018665,0.502466966617224,0.499176321647296,0.50164599981335,0.49835400018665,0.50164599981335,0.499176321647296,0.499176321647296,11.665753424657536,Children,46
15,0.500823678352704,0.49835400018665,0.503286580995929,0.499176321647296,0.50164599981335,0.49835400018665,0.50164599981335,0.499176321647296,0.497533033382776,11.665753424657536,Children,46
16,0.499998643107943,0.49835400018665,0.503286580995929,0.499176321647296,0.50164599981335,0.49835400018665,0.50164599981335,0.499176321647296,-0.500823678352704,11.665753424657536,Children,46
17,0.499998643107943,0.49835400018665,0.503286580995929,0.499176321647296,0.50164599981335,0.49835400018665,0.500819609911817,0.499176321647296,-0.50164599981335,11.665753424657536,Children,46
18,0.499998643107943,0.49835400018665,0.503286580995929,0.499176321647296,0.500819609911817,0.49835400018665,0.500819609911817,0.499176321647296,-0.50164599981335,11.665753424657536,Children,46
19,0.499998643107943,0.49835400018665,0.504104845177391,0.499176321647296,0.500819609911817,0.49835400018665,0.500819609911817,0.499176321647296,0.496713419004071,11.665753424657536,Children,46
20,0.500822323695932,0.49835400018665,0.504104845177391,0.499176321647296,0.500819609911817,0.49835400018665,0.500819609911817,0.499176321647296,0.500001356892057,11.665753424657536,Children,46
21,0.500822323695932,0.49835400018665,0.504104845177391,0.500001356892057,0.500819609911817,0.49835400018665,0.500819609911817,0.499176321647296,0.500823678352704,11.665753424657536,Children,46
22,0.500822323695932,0.49835400018665,0.504104845177391,0.500001356892057,0.500819609911817,0.499180390088183,0.500819609911817,0.499176321647296,0.50164599981335,11.665753424657536,Children,46
23,0.500822323695932,0.49835400018665,0.504104845177391,0.499177676304068,0.500819609911817,0.499180390088183,0.500819609911817,0.499176321647296,-0.500001356892057,11.665753424657536,Children,46
24,0.500822323695932,0.49835400018665,0.504104845177391,0.499177676304068,0.500819609911817,0.499180390088183,0.500819609911817,0.49835400018665,-0.499176321647296,11.665753424657536,Children,46
25,0.500822323695932,0.49835400018665,0.504104845177391,0.499177676304068,0.500819609911817,0.498358061925363,0.500819609911817,0.49835400018665,-0.499180390088183,11.665753424657536,Children,46
26,0.499997290682773,0.49835400018665,0.504104845177391,0.499177676304068,0.500819609911817,0.498358061925363,0.500819609911817,0.49835400018665,-0.500822323695932,11.665753424657536,Children,46
27,0.499997290682773,0.49835400018665,0.504104845177391,0.499177676304068,0.499994581369229,0.498358061925363,0.500819609911817,0.49835400018665,-0.500819609911817,11.665753424657536,Children,46
28,0.499997290682773,0.49835400018665,0.504104845177391,0.499177676304068,0.499994581369229,0.497537088430357,0.500819609911817,0.49835400018665,-0.498358061925363,11.665753424657536,Children,46
29,0.499997290682773,0.49835400018665,0.504104845177391,0.499177676304068,0.499994581369229,0.497537088430357,0.501641938074636,0.49835400018665,0.499180390088183,11.665753424657536,Children,46
30,0.499997290682773,0.497533033382776,0.504104845177391,0.499177676304068,0.499994581369229,0.497537088430357,0.501641938074636,0.49835400018665,-0.49835400018665,11.665753424657536,Children,46
31,0.499997290682773,0.497533033382776,0.504104845177391,0.500002709317227,0.499994581369229,0.497537088430357,0.501641938074636,0.49835400018665,0.500822323695932,11.665753424657536,Children,46
32,0.499997290682773,0.497533033382776,0.504104845177391,0.500002709317227,0.499994581369229,0.497537088430357,0.501641938074636,0.497533033382776,-0.49835400018665,11.665753424657536,Children,46
33,0.499997290682773,0.497533033382776,0.504921761385868,0.500002709317227,0.499994581369229,0.497537088430357,0.501641938074636,0.497533033382776,0.495895154822609,11.665753424657536,Children,46
