trial_labels,CONcon_HR_1,conCON_FZ_2,CONincon_HR_3,conINCON_HZ_4,INCONcon_FR_5,inconCON_FZ_6,INCONincon_FR_7,inconINCON_HZ_8,RPE,Weight,ExactAge,AgeGroup,StudyID
1,0.5,0.5,0.5,0.5,0.0478555223925678,0.5,0.5,0.5,1,0,11.665753424657536,Children,46
2,0.5,0.5,0.523927761196284,0.5,0.0478555223925678,0.5,0.5,0.5,0.5,0,11.665753424657536,Children,46
3,0.5,0.5,0.523927761196284,0.5,0.0478555223925678,0.5,0.523927761196284,0.5,0.5,0,11.665753424657536,Children,46
4,0.5,0.5,0.523927761196284,0.5,0.0478555223925678,0.476072238803716,0.523927761196284,0.5,-0.5,0,11.665753424657536,Children,46
5,0.5,0.5,0.546710446880835,0.5,0.0478555223925678,0.476072238803716,0.523927761196284,0.5,0.476072238803716,0,11.665753424657536,Children,46
6,0.5,0.5,0.546710446880835,0.5,0.0478555223925678,0.476072238803716,0.523927761196284,0.476072238803716,-0.5,0,11.665753424657536,Children,46
7,0.5,0.5,0.546710446880835,0.476072238803716,0.0478555223925678,0.476072238803716,0.523927761196284,0.476072238803716,-0.5,0,11.665753424657536,Children,46
8,0.523927761196284,0.5,0.546710446880835,0.476072238803716,0.0478555223925678,0.476072238803716,0.523927761196284,0.476072238803716,0.5,0,11.665753424657536,Children,46
9,0.523927761196284,0.5,0.568402855240446,0.476072238803716,0.0478555223925678,0.476072238803716,0.523927761196284,0.476072238803716,0.453289553119165,0,11.665753424657536,Children,46
10,0.523927761196284,0.476072238803716,0.568402855240446,0.476072238803716,0.0478555223925678,0.476072238803716,0.523927761196284,0.476072238803716,-0.5,0,11.665753424657536,Children,46
11,0.523927761196284,0.453289553119165,0.568402855240446,0.476072238803716,0.0478555223925678,0.476072238803716,0.523927761196284,0.476072238803716,-0.476072238803716,0,11.665753424657536,Children,46
12,0.523927761196284,0.453289553119165,0.568402855240446,0.476072238803716,0.0478555223925678,0.476072238803716,0.546710446880835,0.476072238803716,0.476072238803716,0,11.665753424657536,Children,46
13,0.523927761196284,0.453289553119165,0.568402855240446,0.476072238803716,0.0478555223925678,0.453289553119165,0.546710446880835,0.476072238803716,-0.476072238803716,0,11.665753424657536,Children,46
14,0.523927761196284,0.453289553119165,0.568402855240446,0.476072238803716,0.0934208937616701,0.453289553119165,0.546710446880835,0.476072238803716,0.952144477607432,0,11.665753424657536,Children,46
15,0.523927761196284,0.453289553119165,0.589057162066056,0.476072238803716,0.0934208937616701,0.453289553119165,0.546710446880835,0.476072238803716,0.431597144759554,0,11.665753424657536,Children,46
16,0.498854924488267,0.453289553119165,0.589057162066056,0.476072238803716,0.0934208937616701,0.453289553119165,0.546710446880835,0.476072238803716,-0.523927761196284,0,11.665753424657536,Children,46
17,0.498854924488267,0.453289553119165,0.589057162066056,0.476072238803716,0.0934208937616701,0.453289553119165,0.520547332847878,0.476072238803716,-0.546710446880835,0,11.665753424657536,Children,46
18,0.498854924488267,0.453289553119165,0.589057162066056,0.476072238803716,0.0889501880883248,0.453289553119165,0.520547332847878,0.476072238803716,-0.0934208937616701,0,11.665753424657536,Children,46
19,0.498854924488267,0.453289553119165,0.608723046248869,0.476072238803716,0.0889501880883248,0.453289553119165,0.520547332847878,0.476072238803716,0.410942837933944,0,11.665753424657536,Children,46
20,0.522837483871344,0.453289553119165,0.608723046248869,0.476072238803716,0.0889501880883248,0.453289553119165,0.520547332847878,0.476072238803716,0.501145075511733,0,11.665753424657536,Children,46
21,0.522837483871344,0.453289553119165,0.608723046248869,0.501145075511733,0.0889501880883248,0.453289553119165,0.520547332847878,0.476072238803716,0.523927761196284,0,11.665753424657536,Children,46
22,0.522837483871344,0.453289553119165,0.608723046248869,0.501145075511733,0.0889501880883248,0.479452667152121,0.520547332847878,0.476072238803716,0.546710446880835,0,11.665753424657536,Children,46
23,0.522837483871344,0.453289553119165,0.608723046248869,0.477162516128656,0.0889501880883248,0.479452667152121,0.520547332847878,0.476072238803716,-0.501145075511733,0,11.665753424657536,Children,46
24,0.522837483871344,0.453289553119165,0.608723046248869,0.477162516128656,0.0889501880883248,0.479452667152121,0.520547332847878,0.453289553119165,-0.476072238803716,0,11.665753424657536,Children,46
25,0.522837483871344,0.453289553119165,0.608723046248869,0.477162516128656,0.0889501880883248,0.456508209303047,0.520547332847878,0.453289553119165,-0.479452667152121,0,11.665753424657536,Children,46
26,0.497816822954265,0.453289553119165,0.608723046248869,0.477162516128656,0.0889501880883248,0.456508209303047,0.520547332847878,0.453289553119165,-0.522837483871344,0,11.665753424657536,Children,46
27,0.497816822954265,0.453289553119165,0.608723046248869,0.477162516128656,0.0846934303704409,0.456508209303047,0.520547332847878,0.453289553119165,-0.0889501880883248,0,11.665753424657536,Children,46
28,0.497816822954265,0.453289553119165,0.608723046248869,0.477162516128656,0.0846934303704409,0.434661770470354,0.520547332847878,0.453289553119165,-0.456508209303047,0,11.665753424657536,Children,46
29,0.497816822954265,0.453289553119165,0.608723046248869,0.477162516128656,0.0846934303704409,0.434661770470354,0.543491790696953,0.453289553119165,0.479452667152122,0,11.665753424657536,Children,46
30,0.497816822954265,0.431597144759554,0.608723046248869,0.477162516128656,0.0846934303704409,0.434661770470354,0.543491790696953,0.453289553119165,-0.453289553119165,0,11.665753424657536,Children,46
31,0.497816822954265,0.431597144759554,0.608723046248869,0.502183177045735,0.0846934303704409,0.434661770470354,0.543491790696953,0.453289553119165,0.522837483871344,0,11.665753424657536,Children,46
32,0.497816822954265,0.431597144759554,0.608723046248869,0.502183177045735,0.0846934303704409,0.434661770470354,0.543491790696953,0.431597144759554,-0.453289553119165,0,11.665753424657536,Children,46
33,0.497816822954265,0.431597144759554,0.627447809270802,0.502183177045735,0.0846934303704409,0.434661770470354,0.543491790696953,0.431597144759554,0.391276953751131,0,11.665753424657536,Children,46
34,0.497816822954265,0.431597144759554,0.627447809270802,0.502183177045735,0.0846934303704409,0.434661770470354,0.543491790696953,0.410942837933944,-0.431597144759554,0,11.665753424657536,Children,46
35,0.497816822954265,0.431597144759554,0.627447809270802,0.502183177045735,0.128495904409413,0.434661770470354,0.543491790696953,0.410942837933944,0.915306569629559,0,11.665753424657536,Children,46
