beta,alphaCC,alphaCI,alphaIC,alphaII,lik,ExactAge,AgeGroup,StudyID
4.97181033646044,0.68960141739246394,0.0329249615154043,0.361708914130482,0.536340177241505,82.187255993737,20.904109589041095,Adults,1
4.4095787181695,0.549505754482753,0,0.283407817064336,0.0139916862111712,92.1596513650262,20.23835616438356,Adults,2
8.86196589662013,0.182201549177872,0.433563298256585,0.280486885388294,0,63.9952428998247,20.427397260273978,Adults,3
16.0352597374922,0.0326775444789328,0.00963789316395662,0.0572559894354104,0.0366640973172557,64.4482003768468,20.643835616438356,Adults,4
3.11045175463033,0.0970604598937489,0,0,0,121.327417705716,21.005479452054793,Adults,5
18.9500976749014,0.0261910735197804,0.0171044968059024,0.0184817783099017,0.045048016120124,72.0937650171728,19.183561643835617,Adults,6
1.55021835225231,0.143956859378685,0.19697184677967,0,0,122.973117996914,18.117808219178084,Adults,7
30,0.0162152713009822,0,0.0558450346369293,0,86.5726097527035,19.03835616438356,Adults,8
2.09019233788189,0.341443434646527,0,0,0.135413018439633,118.361454548715,18.471232876712328,Adults,9
30,0,0.00408164126705984,0.0361234033353882,0.00142247427324707,98.7851315350481,20.361643835616437,Adults,10
1.00000000102796e-6,0,0,0,0,124.76649250079,20.676712328767124,Adults,11
30,0,0.0463508988968968,0.0773181765313398,0,76.0204808124452,14.942465753424658,Adolescents,12
2.75403360805612,0,0.00775232065446572,0,0.0483452374472374,122.665926574194,20.65205479452055,Adults,13
4.06084914126728,0.105489761765183,0.216134514299911,0.0153304845101118,0,107.052425055946,13.69041095890411,Adolescents,16
1.00000000013978e-6,0,0,0,0,124.76649250079,19.813698630136987,Adults,14
1.52852176571105,0.366548573187049,0.307281280225009,0,0.493461465974728,115.866397698415,13.336986301369864,Adolescents,15
30,0.114226655514968,0.0213583280220753,0.0628208387191928,0.0649944180108191,21.8241295609444,18.676712328767124,Adults,17
3.15715945174918,0.0645928392193963,0.0520835863038502,0.199687512299995,0.390345788847999,104.479130772291,18.273972602739725,Adults,18
3.31510179767066,0.0520191212844806,0.71777315305047,0.0175648281400525,0.0477600839025814,101.647258518593,19.027397260273972,Adults,19
1.00000000102796e-6,0,0,0,0,124.76649250079,14.178082191780822,Adolescents,20
7.53764955750646,0.0580100255737592,0.17070068067741,0.125685550885004,0,81.3600809090407,19.731506849315068,Adults,21
2.4575887935055,0.60469884748198,0.021677960707705,0.468820965729151,0.0517447867229559,102.235214347627,19.75068493150685,Adults,22
20.8309213657478,0.0408193757309897,0.0376881234361289,0.0247169279977757,0.112544933443278,36.0724267037252,19.91780821917808,Adults,23
1.46261759763776,0.232592993128247,0.198755809373869,0.247087638027846,0.16897243944498,117.853053912151,14.3013698630137,Adolescents,24
1.56218760935777,0.381008383066966,0.189830554540475,0.112317065078932,0.00612435816927002,118.04506797767,13.082191780821915,Adolescents,25
2.01955522777253,0,0.945127563454723,0.320729859826367,0.484329384703317,103.061925662586,14.013698630136986,Adolescents,26
1.00000000013978e-6,0,0,2.77555756156289e-17,0,124.76649250079,12.227397260273971,Children,27
30,0.0044228688299693,0.00508760664508436,6.276500845951e-4,0.012803589004103,103.52138477267,14.106849315068493,Adolescents,28
0.693116899162013,0,0.338673522734012,1,0,122.324752030393,15.205479452054794,Adolescents,29
9.999999992516e-7,0,0,0,0,124.76649250079,12.652054794520549,Children,30
11.6132080262354,0.239964648842137,0.0100158106690988,0.0252769102075197,0.0823923349238203,80.69497232114,14.41917808219178,Adolescents,31
1.15735377139132,1,0.601165809162691,0.00125407491445803,0.0841453922042265,117.015796687482,13.868493150684932,Adolescents,32
30,0.00979539354492353,0,0,0,107.588642102914,11.178082191780822,Children,33
0.749826226655632,1,0,0.0123622252880817,0,123.365205731314,12.465753424657532,Children,34
2.54324477695816,1,0.0559851987188907,0.356063074514206,0.132967355293042,94.6280357037604,8.704109589041096,Children,35
1.28860809883252,0.379276666942695,0,0,0.478033945242354,122.55580838693,8.073972602739726,Children,36
1.00000000102796e-6,0,0,0,-1.11022302462516e-16,124.76649250079,8.942465753424658,Children,37
0.454641563684408,0.0292855776606502,0,1,1,123.658892933505,9.035616438356165,Children,38
1.00000000013978e-6,0,0,0,0,124.76649250079,9.465753424657532,Children,39
3.81893931904174,0,0.157360487725573,0.146027660695046,6.1201145011323e-4,114.708593441044,9.657534246575343,Children,40
0.991378857483183,0.764535340631459,0,0.0196174112740039,0.213595003645118,122.711576607203,8.67123287671233,Children,41
5.20756188975863,0.331318624600759,0,0.264360394853715,0,94.7368933231798,10.095890410958903,Children,42
2.81679266377744,0.260605530530358,0.0613010454921138,0.342731888327722,0.0783835060402968,99.643167875968,9.915068493150685,Children,43
30,0.0186931626057548,0.00865518887628645,0.0107647393627347,0.00415443530294646,82.2860098435665,16.2986301369863,Adolescents,44
1.01807843761122,0.0766455782971579,0.0410669772300538,1,0,120.751959291152,14.158904109589042,Adolescents,45
30,0.00165362234215952,6.9775313404975e-4,0.00104543513278235,3.9478864634356e-4,123.667330936134,11.665753424657536,Children,46
0.606196378906366,0,1,0.0639204902065451,1,122.085681588257,15.326027397260274,Adolescents,47
11.1783227746874,0.0879698802343701,0.129966299632384,0.091809005971458,0.677271296863021,68.6153143702455,9.865753424657534,Children,48
1.00000000013978e-6,0,0,0,0,124.76649250079,9.865753424657534,Children,49
8.46876984187688,0.231148532354132,0.0133087518614144,0.0767785099783537,0,90.5305069005395,15.227397260273971,Adolescents,50
0.186213046806238,0,0,0,0.595513819534184,124.709455014529,8.04109589041096,Children,51
30,0.00552579073958556,0.0834365973760833,0.0248720984838132,2.3425049553803e-4,77.9699824250016,15.03013698630137,Adolescents,52
16.6956792655443,0.089790281840687,0.569197327310646,0.12493222239593,0.226248800699387,25.6039135973466,22.775342465753425,Adults,53
2.50211829149002,0.0678739002233872,1,1,0.359866657017354,95.1013367808223,21.567123287671233,Adults,54
30,0.012063397249641,0.0697639594277466,0.00278290810385727,0,84.9341482037608,21.39452054794521,Adults,55
1.12854478220538,1,0.723496778872416,1,0.684634265980311,114.68367253186899,21.35890410958904,Adults,56
0.70004402016815,1,1,1,0,120.391013555672,21.578082191780823,Adults,57
23.1608660422807,0.0518442834817508,0.100870022194007,0.145260370532052,0.0650238602279012,24.4031154674966,21.13972602739726,Adults,58
0.825625791154396,0.810202553335708,0.0164759638104882,0.331732383257794,0,122.639630456816,21.16164383561644,Adults,59
30,0.0240037736693646,0.0362151835071974,0.0149554783025611,0.0146089647931259,65.36032056198,21.432876712328767,Adults,60
2.59336404085812,0.0695819335459521,0.00763441250690108,0.165802981007419,0,116.904707208082,21.15068493150685,Adults,61
30,0.00797533570393129,0.0911831817863049,0.0442451523310038,0.0483735337392115,37.6835992069598,21.356164383561644,Adults,62
23.9572794033214,0.0652158276158878,0.00967419569431494,0.00479407380176596,0,95.073562295409,22.2986301369863,Adults,63
0.293829050566935,0,0,0,0.779495092912186,124.560215925756,9.476712328767125,Children,64
0.915450015348728,0.188292555823974,0,1,0.0327462034838174,121.548949497043,12.843835616438357,Children,65
4.34077613253348,0.0444932771825894,0.2731633823984,0.102984850643712,0.0799925142399035,88.4823728690487,12.263013698630138,Children,66
1.00000000102796e-6,0,0,0,0,124.76649250079,15.846575342465751,Adolescents,67
1.85522771056508,1,0.26813538857887,0.968456940476613,0.405954079649508,105.166564985837,15.027397260273972,Adolescents,68
0.865544755714328,0.0187992085916801,0.386574899953397,1,0.00887292650929861,120.791937478495,9.213698630136989,Children,69
24.7831340638421,0.133092984778136,0.129022037842588,0.0309018771338119,0.913371536483205,32.4995866022948,14.994520547945204,Adolescents,70
12.341140821365,0.103956980781468,0.193609957169669,0.0483365339524666,0.106419223686642,54.3000363725211,22.76164383561644,Adults,71
30,0.0210438385784497,0.0146235413576844,0.0111504430407385,0.0889777887134986,57.9323768616431,22.45205479452055,Adults,72
9.999999992516e-7,0,0,0,0,124.76649250079,12.26027397260274,Children,73
4.00367077495794,0.116922463229238,0.0345957007077798,0.227857077252995,0.138724252640388,96.5628912362877,10.41917808219178,Children,74
0.619881056815872,0.785118785866204,1,0,0.693575407481356,121.414988635362,11.58904109589041,Children,75
23.4909158963067,0.0210002703261438,0.0479239375329004,0.00974947920087929,0.188096841361651,65.6609960734981,22.589041095890412,Adults,76
22.3543758398682,0.0117421571367284,0.306980800842181,0.138974111442078,0.124057439801863,33.3266744355471,22.802739726027397,Adults,77
9.4689973777871,0.0295511708878034,0.101638940850936,0.00930003995843705,0.0707537258846573,94.6661560429321,15.73972602739726,Adolescents,78
1.00000000013978e-6,0,0,0,0,124.76649250079,13.87945205479452,Adolescents,79
1.34586112130999,1,0.929950805276214,0.288216685495375,0.325947493463119,112.241460746954,22.027397260273972,Adults,80
19.9736566864284,0.0382052075168014,0.0760353392675932,0.0111196923851799,0.0332688130701644,52.8129479299083,22.775342465753425,Adults,81
1.57047674032045,1,0.057179448617994,0,0,119.507463631575,15.413698630136986,Adolescents,82
2.99448363327692,0.832003853187842,0.0895199343417989,0.255481981840344,1,83.5467977889167,16.794520547945204,Adolescents,83
0.587176511941196,0.0982609277150864,0.139391421546515,1,1,122.796094061863,15.123287671232877,Adolescents,84
0.5544695106145,0.161679656237421,0,0,0.270580341015331,124.030326865837,17.068493150684933,Adolescents,85
6.60421477429201,0.0339605516173846,0.0641881020742191,0.186990681611929,0.0829936104321266,79.5749312040428,15.75890410958904,Adolescents,86
4.4767046715331,0.0984368345482182,0.60995334462062,0.164387635236648,0.253682606675516,91.3407839487132,15.756164383561645,Adolescents,87
12.0543130223526,0.0334726199146821,0.0515719630053888,0.0935792857522535,0.357899697904195,48.6418779947432,16.695890410958903,Adolescents,88
12.8344986538686,0.0271506907269615,0.0296911448690628,0.0502665681512597,0.0382938743240098,73.3788524303529,16.654794520547945,Adolescents,89
16.6070161436582,0.00921506138346398,0,0.0807484154235926,0.0226904515795627,95.6494982912351,11.575342465753424,Children,90
7.74770832388076,2.0989359788461e-4,0.238220648485476,0.0105156077294563,0,103.487843292689,13.164383561643836,Adolescents,91
30,0.0100682973729437,0.0194788421095137,0.0535524840515492,0.0126803524734774,58.2518069359706,17.068493150684933,Adolescents,92
30,0.0294515651458729,0.0617857039694911,0.932886304993574,0.04961597672406,25.7719703234486,16.578082191780823,Adolescents,93
30,0.114361517022781,0.0645881965848566,0.326675472459488,0.0283269862991687,19.6301020125398,14.076712328767124,Adolescents,94
7.11842250635111,0.14040736779214,0.104915680859734,0.0680359542650922,0,83.6706029078971,8.07945205479452,Children,95
16.4067937838204,0.0537819334530174,0.0322752698269949,0.0241145421849371,0.0277480281984772,68.2581471547165,20.48493150684931,Adults,96
30,0.0158615142758541,0.0105863061431515,0.0105046101411971,0.0156249288559803,71.3491406148094,11.484931506849316,Children,97
0.578171596485667,0.540936435474913,1,0.0523977578808757,0,123.23560620695,10.73972602739726,Children,98
18.4225736208023,0,0.00628697163836007,0,0.0225692293926012,109.075043521482,20.687671232876713,Adults,99
9.16698440319765,0.0769949015395767,0.144865891934247,0.119251664151191,0.0375892879044913,60.623841181367,20.312328767123287,Adults,100
2.04389472990507,0.626176958902416,0.0246148145003092,0.294972564165556,0,113.611467592585,10.38082191780822,Children,101
0.663812184376026,0.154767682469705,0.00778914899498615,1,0.236284327715752,122.541000346327,17.22739726027397,Adolescents,102
1.9750892536061,0.0881881954765364,0.0914260375909186,0.117621148162138,0.498492221952994,107.184465225141,10.145205479452056,Children,103
30,0.0144327140905696,0.00227823018095921,0.0335465559240899,0,79.1752272611408,10.084931506849315,Children,104
30,0.0180201342087016,0.0792788707745481,0.00473009473369802,0.0131040924501694,54.3227649866489,17.23835616438356,Adolescents,105
30,0,0.0301464534896407,0.0332363713897803,0.00543225357316617,81.1408308744364,12.115068493150686,Children,106
30,0.254871303965734,0.0778580495380048,0.971405385000899,0.132810701196361,27.8352707173759,18.361643835616437,Adults,107
17.9712246761252,0.00795163671267301,0.0444136738935468,0.0340905967287395,0.137757644168301,79.9500015851222,11.90958904109589,Children,108
30,0.00143992686052057,0,0,3.2330300437191e-4,124.50566499154,8.202739726027398,Children,109
1.00000000102796e-6,0,0,-3.46944695195361e-18,0,124.76649250079,12.101369863013698,Children,110
1.00000000013978e-6,0,0,0,0,124.76649250079,10.2,Children,111
1.00000000102796e-6,0,0,0,0,124.76649250079,10.9013698630137,Children,112
30,0.0562177125387949,0.00705650792482326,0.0116399585519392,0.0116342259787075,76.4690534791675,17.345205479452055,Adolescents,113
8.7559564252877,0.138426587985263,0.121138087074499,0.0389344898678605,0.0147596892898447,77.3713336284305,18.106849315068494,Adults,114
0.643085678249721,0.559329973105842,1,0.616343783397115,0.0656179462537921,121.748709169737,11.07945205479452,Children,115
19.3952259453558,0.0737182393580768,0.0547777040346627,0.00782292101997976,0.00655514283064028,89.4304716257364,11.186301369863012,Children,116
0.959684846415416,0.171055565279038,0.691745316307537,0,0,121.907713630075,17.934246575342467,Adolescents,117
25.8392807441658,0.15174394999812,0.00952738992463723,0.101759837747297,0.0345446980529309,41.1729265907038,19.167123287671235,Adults,118
30,0.0253900996073257,0.0797317420031311,0.0245366999531486,0.0275207646219959,27.5368238322344,19.46849315068493,Adults,119
30,0,3.2365141989182e-4,0,0.00495038377728354,117.215352557869,8.038356164383561,Children,120
4.31274003150185,0.423580557175869,0.110249253562301,0,0,103.151521515294,18.39178082191781,Adults,121
