StudyID,beta_in,alpha_in,lik_in,beta_out,alpha_out,lik_out
1,1.87330882516051,0,-124.76649250079,0.28693063952423,1,123.729843347676
2,9.999999992516e-7,0.219312562192376,-124.766499757419,1.00000000102796e-6,0,124.76649250079
3,30,0,-124.76649250079,1.00000000102796e-6,0,124.76649250079
4,9.999999992516e-7,0,-124.76649250079,1.000000000001e-6,0,124.76649250079
5,30,0.00391271548096954,-116.251142467631,30,0.00379263829365727,116.244062552422
6,1.00000000458067e-6,0.0927496447677143,-124.766489936956,30,0.00153852684809323,123.595938688454
7,30,0.572432369818063,-10.472932522232,30,0.537805248832682,10.3103505682895
8,0.420294743240408,2.0452807338618e-4,-124.766675485769,1.00000000102796e-6,0,124.76649250079
9,9.999999992516e-7,0.0193225292353468,-124.766492606861,1.00000000102796e-6,0,124.76649250079
10,9.999999992516e-7,0.00137732306705404,-124.76649250992,9.999999992516e-7,1.11022302462516e-16,124.76649250079
11,7.24991352201266,0.0927496447677143,-76.095842879193,23.916854925274,0.016999475793076,74.3393925654656
12,30,0.00956223963547716,-85.0708629206206,12.7421532725227,0.0289538958997541,84.5064616541425
13,21.202851492434,0,-124.76649250079,1.00000000102796e-6,0,124.76649250079
14,1.00000000102796e-6,0,-124.76649250079,1.00000000013978e-6,0,124.76649250079
15,2.98369288471319,0.127367937338266,-100.631707237058,2.51666843436538,0.195897139717193,100.390197493044
16,19.8432759371151,0.511220436206631,-13.3584619823001,30,0.512184967836362,12.3959701820528
17,30,0.120078904652344,-14.0942155266769,27.9656654190065,0.131722479565343,14.0250362071028
18,1.00000000013978e-6,0.566938897431492,-124.766492846239,1.00000000102796e-6,0,124.76649250079
19,1.45672870096605,0.127367937338266,-115.106379352568,1.69326369315452,0.111307569596604,115.019890700667
20,30,0.219312562192376,-12.8038535141617,30,0.207009214103877,12.6739929280098
21,0.304777536213704,0.0140051902240465,-124.746578682207,9.999999992516e-7,0,124.76649250079
22,0.480732773966286,0,-124.76649250079,0.466807267024028,1,121.818104426756
23,30,1,-47.1340113371085,30,1,47.1340113371085
24,2.9877034084843,0.232054288011713,-88.9720023818258,2.86577133930628,0.462513209855247,86.7266372408958
25,30,0.0735668077494146,-24.6109994840348,30,0.070858740910781,24.5894113748454
26,0.883841669878458,0.572432369818063,-119.212675643728,1.49007621605365,0.115222267239165,119.091314290778
27,1.00000000102796e-6,0,-124.76649250079,1.00000000458067e-6,0,124.76649250079
28,30,0.176801499798207,-16.3088382243261,30,0.19064927057535,16.2581912479341
29,30,0.572432369818063,-8.62062079935997,30,0.603303801761458,8.54511737960049
30,8.65319594729944,0.0196612652339375,-102.597135520376,30,0.0058952194850645,102.072740892441
31,1.00000000458067e-6,0.176801499798207,-124.766492846127,9.999999992516e-7,0,124.76649250079
32,1.00000000102796e-6,0.00956223963547716,-124.766492602202,1.00000000102796e-6,0,124.76649250079
33,30,0.0914614734947159,-11.5588482623778,30,0.105324413976402,11.4782396436751
34,30,0.00956223963547716,-75.6849382039841,30,0.0105472376507337,75.4699837847196
35,30,0,-124.76649250079,1.00000000102796e-6,0,124.76649250079
36,2.52522401137573,0.56382991890267,-76.246632315456,2.73854349455376,0.792789135214007,73.9788372199068
37,30,0.511220436206631,-14.5621390060054,21.9681957731088,0.464808466063054,13.9115676613133
38,2.12663333604703,1,-89.466320931326,2.06878441945541,0.930035250066847,89.230295710323
39,0.304777536213704,0.0735668077494146,-124.631146904822,0.210756091429995,0.284761444353316,124.589808254683
40,2.93406032654627,0.0914614734947159,-118.446625885804,1.94850080696859,0.106504393346179,117.44403351057
41,7.79726490787694,1,-39.0244270997043,19.9170920838553,0.986604037583869,38.5536648126005
42,1.45672870096605,0,-124.76649250079,9.999999992516e-7,0,124.76649250079
43,30,1,-54.7586294055603,30,1,54.7586294055603
44,1.11111328009947,0.582926213677772,-116.397527705434,1.0144342145352,0.589829366252468,116.332911851862
45,30,0.0372255564628569,-35.0636259499401,30,0.0387546164737943,35.0427800598963
46,0.43288655247573,0.0139476695480584,-125.175129140424,1.00000000013978e-6,0,124.76649250079
47,1.00000000102796e-6,0.176801499798207,-124.766491020637,13.0001185908775,5.23837888498093e-5,124.765985502479
48,2.34381686078035,0,-124.76649250079,0.411002792518662,0.288435296551764,124.000681060871
49,9.999999992516e-7,0.862021711341418,-124.766500629114,9.999999992516e-7,0,124.76649250079
50,1.04604897307786,0.0140051902240465,-123.997626397294,30,0.00128458225701597,123.390503973436
51,1.87330882516051,0.19873994609842,-102.269360265074,2.58963896931173,0.17740127297047,101.016666367313
52,2.9461887896465,0.420383198482453,-88.1417285712764,2.89537121067432,0.344037368336635,87.8670384388075
53,2.84967779295972,0.0372626107342493,-121.023360607205,30,0.00257052566111964,120.4758062386
54,1.59796286586261,0.0285056277611412,-123.731996361446,9.99999997475243e-7,-1.11022302462516e-16,124.76649250079
55,0.399696333524048,0.463505662958931,-121.424614861196,0.640001203034709,0.519386834236809,120.827064555152
56,2.02375285808966,0.19873994609842,-105.337166191211,2.0287238064649,0.203267967605551,105.334988647711
57,2.98369288471319,1.11022302462516e-16,-124.76649250079,1.00000000458067e-6,0,124.76649250079
58,8.72774608480088,0.0196612652339375,-102.90909517775,30,0.00502943636231533,102.636438213765
59,2.02375285808966,0.0196612652339375,-124.400188423059,1.00000000013978e-6,0,124.76649250079
60,9.999999992516e-7,0.56382991890267,-124.766488422217,1.00000000058387e-6,1.11022302462516e-16,124.76649250079
61,1.00000000102796e-6,0,-124.76649250079,0.229566299989264,1,124.079288452518
62,1.59796286586261,1,-101.173278172585,1.91447591642734,0.676447696168827,100.152543136554
63,1.00000000102796e-6,0.0285056277611412,-124.766492744828,9.999999992516e-7,0,124.76649250079
