StudyID,beta_in,alpha_in,omega_in,lik_in,beta_out,alpha_out,omega_out,lik_out
1,1.17195316716237,0.0588001022514033,0,-124.800208961744,0.498989153982925,3.32389493052195e-17,1,122.050164062044
2,0.558424862072041,0.0659500133040622,0.70729939201408,-124.247744648599,0.484315799877105,0.231243351135954,0,123.424607263765
3,5.09130075408738,0.614335587681282,0.956595701610584,-58.7584268414332,4.87385229740109,0.613502432223545,0.956938184137229,58.7100668807113
4,2.46827015553284,0.0145836548146265,0,-115.316198093891,2.03872668449634,0.060478377039709,0,113.958751053442
5,0.593809744507735,0.608330035466922,0.929039142302554,-125.781205927243,0.224639440554101,0.46948875396004,0.914230442786879,124.313913926371
6,16.0361784914577,0.169603066131742,0.634206526177144,-20.8819855637566,16.7251815748672,0.146714481736992,0.671228819227652,19.6822444639217
7,15.5929988463779,0.0151565231196954,0,-78.863202099856,17.7437140157563,0.012744150501408,0,78.8332219702111
8,11.9383666669124,0.285626781461128,0.556402458849261,-32.8711419017769,10.1190712109758,0.426984602627487,0.598622781020207,30.7760394196268
9,1.65202934901182,-1.11022302462516e-16,0.965861902204626,-105.77283124637,1.54943679295889,0,0.958096038524661,105.634993869427
10,1.57354962693517,1,0.534654441081299,-112.792354696405,1.12522218286755,1,0,110.186333085273
11,0.453734024337455,0.29362734027859,0.78226056549639,-125.447781720042,3.87937051827411,0.00969737350312528,0.353842116476814,120.049238385794
12,0.453734024337455,0.0272997687752626,0.898123510385766,-125.183630683626,0.386759171705323,0.0311606138309468,0.548014507332267,124.479363244764
13,2.14870827334434,0.545170595010858,0.127463705794184,-97.8656039424452,2.52693319838285,0.408683885820612,0.755812077864939,95.8403952909253
14,11.5254308475991,0.584038447556871,0.930558339619993,-25.0804195719809,10.2853780676406,0.571067883666171,0.934717189033896,24.7120134795687
15,7.77134744032292,0.545170595010858,0,-43.8317030393348,6.94302786229441,0.45453602067499,0,42.4606602026503
16,10.5389325048878,0.346706460745491,0.0363606207447442,-21.0730087249541,12.1538910964912,0.365900214540539,0,20.5776783436835
17,0.558424862072041,0.247653599582539,0.89530369085189,-120.611395641695,1.02917585725637,0.381639010190349,0.836794759881372,118.91107616208
18,5.60177189009831,0.151513345724923,0.933777912671799,-59.1199755627296,6.01708653185867,0.151464066414519,0.940593823536691,58.8133076432018
19,0.693148225352929,0.650665896340342,0,-119.761754870798,1.41893558062991,0.109810006895268,0,119.189177480162
20,4.57574910611841,0.0802637905701961,0.853468487870818,-87.7662891000688,5.5169739629245,0.0663240929905929,0.908374165376321,83.991522610834
21,7.22760832397212,1,0.960772578379766,-51.0815541930471,30,1,0.941703652665436,47.1368435776591
22,2.79379565988618,0.275436253564101,0.933620203234658,-102.842623474642,2.78289402882582,0.169179677564535,0.933108237531677,101.414002784392
23,0.322689475805191,0.127577302567444,0.327336780022139,-125.767642225983,0.268242849382376,0,1,123.964105117059
24,7.68562577459517,0.0138588152584136,3.3344424756046e-18,-92.3303514743051,8.66625421336673,0.0107954049467114,0,92.0903819535399
25,0.558424862072041,0.0478555223925678,0.884773418720439,-123.849667205176,0.466038297837905,0,0.970535159021906,122.490748842379
26,25.410195328289,0.460253035560377,0,-14.1573419962863,30,0.517259260975184,0.0403474402107094,13.0739286199011
27,0.564034775270056,0.169603066131742,0.576519491760973,-122.237051581531,0.544963065712226,1,0.918575337277835,121.111626067171
28,0.226114589143274,0,0.269095194762945,-124.78425498732,0.172756776918653,1,0,124.356695250638
29,0.179297633518947,0.395939577311826,0,-124.249042248486,1.59540767236368,0,0,121.287173098342
30,2.07944261593071,0.269753958227487,0.898123510385766,-98.3965091228469,3.8620253161459,0.13967522544076,0.445262781211081,96.4209898107234
31,5.09130075408738,0,0.970332884194861,-80.1520164759758,3.46772832872253,0.0377145878372304,0.990922551013344,78.2343399465258
32,3.07006558022619,0,0,-121.27339297294,1.96164706972871,0,5.2015036952866e-7,120.049931761653
33,1.67202214994072,0.247653599582539,0.606991792913742,-99.9576686765562,2.22433756340154,0.321591931750371,0.407391579138719,97.6063055091881
34,1.07697047934196,0,0.765946698641327,-118.294894220221,1.91881597527223,0,0.599316513813491,116.843744459523
35,5.09130075408738,0.0272997687752626,0,-107.163369849648,4.65719205339119,0.0130909655129705,0.184914704796602,105.975342375977
36,2.83560402256218,0.00664997426343054,0,-111.529639331827,3.51761655579861,0.0164750059207768,0.313578230726911,109.545308274096
37,1.78177734263256,0,0,-120.976595468945,3.17342537776083,0.0137765685735346,0.336746301983147,119.185275596161
38,3.59462943682929,0.196901122409938,0.971070108383124,-81.4316142632653,3.6416780158205,0.225906077030417,0.977911403005897,80.5466351163125
39,1.90684233020933,0.024928746159965,0,-122.666821587667,1.89097121890505,6.341710169679e-4,0.49895405510148,120.962457548432
40,0.558424862072041,0.0272997687752626,0,-124.564954593509,1.21888202768101,0.0369219311979831,0.824886024260751,123.058062950433
41,1.57354962693517,0.140353472008435,0,-118.855661392063,1.51531603710585,0.127542039949145,0.623092765926793,118.201369338976
42,1.03819344846522,0.584038447556871,0.628049051874576,-113.843242439716,1.0568065242420699,0.655400337835534,0,113.611247829932
43,0.360005819025042,0.0965494015387263,0.638678675624091,-125.616300986654,9.999999992516e-7,0,0,124.766494500792
44,10.5389325048878,0.0659500133040622,0.117165055237245,-73.3780300683152,9.92771849723628,0.0767116730987341,0.0612254609116047,72.5860529732565
